,year_month,year,month,day,deaths,date
1,2000M01,2000,1,1.0,65,2000-01-01
2,2000M01,2000,1,2.0,69,2000-01-02
3,2000M01,2000,1,3.0,65,2000-01-03
4,2000M01,2000,1,4.0,63,2000-01-04
5,2000M01,2000,1,5.0,64,2000-01-05
6,2000M01,2000,1,6.0,53,2000-01-06
7,2000M01,2000,1,7.0,52,2000-01-07
8,2000M01,2000,1,8.0,50,2000-01-08
9,2000M01,2000,1,9.0,67,2000-01-09
10,2000M01,2000,1,10.0,68,2000-01-10
11,2000M01,2000,1,11.0,51,2000-01-11
12,2000M01,2000,1,12.0,77,2000-01-12
13,2000M01,2000,1,13.0,53,2000-01-13
14,2000M01,2000,1,14.0,76,2000-01-14
15,2000M01,2000,1,15.0,67,2000-01-15
16,2000M01,2000,1,16.0,58,2000-01-16
17,2000M01,2000,1,17.0,77,2000-01-17
18,2000M01,2000,1,18.0,64,2000-01-18
19,2000M01,2000,1,19.0,70,2000-01-19
20,2000M01,2000,1,20.0,63,2000-01-20
21,2000M01,2000,1,21.0,58,2000-01-21
22,2000M01,2000,1,22.0,62,2000-01-22
23,2000M01,2000,1,23.0,73,2000-01-23
24,2000M01,2000,1,24.0,77,2000-01-24
25,2000M01,2000,1,25.0,61,2000-01-25
26,2000M01,2000,1,26.0,62,2000-01-26
27,2000M01,2000,1,27.0,65,2000-01-27
28,2000M01,2000,1,28.0,59,2000-01-28
29,2000M01,2000,1,29.0,63,2000-01-29
30,2000M01,2000,1,30.0,70,2000-01-30
31,2000M01,2000,1,31.0,78,2000-01-31
33,2000M02,2000,2,1.0,91,2000-02-01
34,2000M02,2000,2,2.0,74,2000-02-02
35,2000M02,2000,2,3.0,59,2000-02-03
36,2000M02,2000,2,4.0,68,2000-02-04
37,2000M02,2000,2,5.0,80,2000-02-05
38,2000M02,2000,2,6.0,58,2000-02-06
39,2000M02,2000,2,7.0,72,2000-02-07
40,2000M02,2000,2,8.0,68,2000-02-08
41,2000M02,2000,2,9.0,75,2000-02-09
42,2000M02,2000,2,10.0,68,2000-02-10
43,2000M02,2000,2,11.0,65,2000-02-11
44,2000M02,2000,2,12.0,75,2000-02-12
45,2000M02,2000,2,13.0,69,2000-02-13
46,2000M02,2000,2,14.0,57,2000-02-14
47,2000M02,2000,2,15.0,64,2000-02-15
48,2000M02,2000,2,16.0,49,2000-02-16
49,2000M02,2000,2,17.0,66,2000-02-17
50,2000M02,2000,2,18.0,69,2000-02-18
51,2000M02,2000,2,19.0,71,2000-02-19
52,2000M02,2000,2,20.0,52,2000-02-20
53,2000M02,2000,2,21.0,65,2000-02-21
54,2000M02,2000,2,22.0,57,2000-02-22
55,2000M02,2000,2,23.0,51,2000-02-23
56,2000M02,2000,2,24.0,61,2000-02-24
57,2000M02,2000,2,25.0,56,2000-02-25
58,2000M02,2000,2,26.0,48,2000-02-26
59,2000M02,2000,2,27.0,52,2000-02-27
60,2000M02,2000,2,28.0,54,2000-02-28
61,2000M02,2000,2,29.0,54,2000-02-29
65,2000M03,2000,3,1.0,48,2000-03-01
66,2000M03,2000,3,2.0,53,2000-03-02
67,2000M03,2000,3,3.0,49,2000-03-03
