,STANDARDNA PORABNIŠKA SKUPINA (LETNA PORABA),CENA,ČETRTLETJE,EUR/kWh,leto,cetrtletje
0,DA (<1000 KWh),Energija,2012Q1,0.0627,2012,1
1,DA (<1000 KWh),Energija,2012Q2,0.0656,2012,2
2,DA (<1000 KWh),Energija,2012Q3,0.0673,2012,3
3,DA (<1000 KWh),Energija,2012Q4,0.0671,2012,4
4,DA (<1000 KWh),Energija,2013Q1,0.0644,2013,1
5,DA (<1000 KWh),Energija,2013Q2,0.0644,2013,2
6,DA (<1000 KWh),Energija,2013Q3,0.0647,2013,3
7,DA (<1000 KWh),Energija,2013Q4,0.064,2013,4
8,DA (<1000 KWh),Energija,2014Q1,0.069,2014,1
9,DA (<1000 KWh),Energija,2014Q2,0.0628,2014,2
10,DA (<1000 KWh),Energija,2014Q3,0.0612,2014,3
11,DA (<1000 KWh),Energija,2014Q4,0.0594,2014,4
12,DA (<1000 KWh),Energija,2015Q1,0.059,2015,1
13,DA (<1000 KWh),Energija,2015Q2,0.0582,2015,2
14,DA (<1000 KWh),Energija,2015Q3,0.0586,2015,3
15,DA (<1000 KWh),Energija,2015Q4,0.0569,2015,4
16,DA (<1000 KWh),Energija,2016Q1,0.0586,2016,1
17,DA (<1000 KWh),Energija,2016Q2,0.0583,2016,2
18,DA (<1000 KWh),Energija,2016Q3,0.0584,2016,3
19,DA (<1000 KWh),Energija,2016Q4,0.0574,2016,4
20,DA (<1000 KWh),Energija,2017Q1,0.056469725504099,2017,1
21,DA (<1000 KWh),Energija,2017Q2,0.055970297251962,2017,2
22,DA (<1000 KWh),Energija,2017Q3,0.056176910624712,2017,3
23,DA (<1000 KWh),Energija,2017Q4,0.055386822867884,2017,4
24,DA (<1000 KWh),Energija,2018Q1,0.05814283471712,2018,1
25,DA (<1000 KWh),Energija,2018Q2,0.058449295911389,2018,2
26,DA (<1000 KWh),Energija,2018Q3,0.061513882308923,2018,3
27,DA (<1000 KWh),Energija,2018Q4,0.057861293555714,2018,4
28,DA (<1000 KWh),Energija,2019Q1,0.06108729260549,2019,1
29,DA (<1000 KWh),Energija,2019Q2,0.062021057167728,2019,2
30,DA (<1000 KWh),Energija,2019Q3,0.062767898969267,2019,3
31,DA (<1000 KWh),Energija,2019Q4,0.061013031081583,2019,4
32,DA (<1000 KWh),Energija,2020Q1,0.06627938882663,2020,1
33,DA (<1000 KWh),Energija,2020Q2,0.069697573761871,2020,2
34,DA (<1000 KWh),Energija,2020Q3,0.076069487591034,2020,3
35,DA (<1000 KWh),Energija,2020Q4,0.070221049769569,2020,4
36,DA (<1000 KWh),Energija,2021Q1,0.070803574046686,2021,1
37,DA (<1000 KWh),Energija,2021Q2,0.075482543083136,2021,2
38,DA (<1000 KWh),Energija,2021Q3,0.080907188791635,2021,3
39,DA (<1000 KWh),Energija,2021Q4,0.072135167451063,2021,4
40,DA (<1000 KWh),Energija,2022Q1,0.074867938055233,2022,1
